City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Bourail,-21.5667,165.4833,75.13,81,89,5.35,NC,2021-04-21 05:35:21,overcast clouds
1,Mataura,-46.1927,168.8643,48.0,95,93,8.99,NZ,2021-04-21 05:35:22,overcast clouds
2,Albany,42.6001,-73.9662,43.0,71,96,4.99,US,2021-04-21 05:35:22,overcast clouds
3,Bafut,6.0833,10.1,67.19,79,100,2.68,CM,2021-04-21 05:35:23,overcast clouds
4,Upernavik,72.7868,-56.1549,4.89,86,99,7.65,GL,2021-04-21 05:35:23,overcast clouds
5,Hithadhoo,-0.6,73.0833,82.67,64,5,3.89,MV,2021-04-21 05:35:24,clear sky
6,Ushuaia,-54.8,-68.3,44.6,61,20,5.75,AR,2021-04-21 05:31:59,few clouds
7,Leningradskiy,69.3833,178.4167,32.22,72,48,7.29,RU,2021-04-21 05:35:25,scattered clouds
8,Avera,33.194,-82.5271,57.2,56,1,4.61,US,2021-04-21 05:35:25,clear sky
9,Victoria,22.2855,114.1577,82.4,54,20,9.22,HK,2021-04-21 05:33:37,few clouds
10,Isiro,2.7739,27.616,66.94,99,100,4.09,CD,2021-04-21 05:35:26,overcast clouds
11,Rikitea,-23.1203,-134.9692,76.77,75,30,4.32,PF,2021-04-21 05:35:26,light rain
12,Port Elizabeth,-33.918,25.5701,59.0,94,89,2.3,ZA,2021-04-21 05:35:27,light rain
13,Fortuna,40.5982,-124.1573,50.0,100,90,5.75,US,2021-04-21 05:35:28,overcast clouds
14,Caravelas,-17.7125,-39.2481,72.52,90,93,2.44,BR,2021-04-21 05:35:28,overcast clouds
15,Mayor Pablo Lagerenza,-19.9309,-60.7718,74.44,73,56,4.97,PY,2021-04-21 05:35:29,broken clouds
16,Bethel,41.3712,-73.414,53.01,76,1,4.59,US,2021-04-21 05:35:29,clear sky
17,Punta Arenas,-53.15,-70.9167,35.6,75,0,9.22,CL,2021-04-21 05:35:30,clear sky
18,Tolyatti,53.5303,49.3461,42.8,31,0,26.84,RU,2021-04-21 05:35:30,light rain
19,Mikuni,36.2171,136.1519,60.8,51,20,9.22,JP,2021-04-21 05:35:31,few clouds
20,Iqaluit,63.7506,-68.5145,23.0,80,90,31.07,CA,2021-04-21 05:35:31,light snow
21,Kapaa,22.0752,-159.319,73.4,88,1,5.75,US,2021-04-21 05:35:32,clear sky
22,Kihei,20.785,-156.4656,77.0,78,20,3.44,US,2021-04-21 05:35:32,light rain
23,Havre-Saint-Pierre,50.2334,-63.5986,33.8,100,90,8.05,CA,2021-04-21 05:35:33,snow
24,Busselton,-33.65,115.3333,71.01,62,0,3.0,AU,2021-04-21 05:35:33,clear sky
25,Westport,41.1415,-73.3579,55.4,62,1,9.22,US,2021-04-21 05:31:22,clear sky
26,Meulaboh,4.1363,96.1285,85.28,67,66,6.93,ID,2021-04-21 05:35:34,broken clouds
27,Cherskiy,68.75,161.3,36.25,76,44,24.0,RU,2021-04-21 05:35:35,scattered clouds
28,Nuevo Progreso,23.1667,-97.95,69.01,90,80,1.99,MX,2021-04-21 05:35:35,broken clouds
29,Bredasdorp,-34.5322,20.0403,57.2,94,100,2.3,ZA,2021-04-21 05:35:36,overcast clouds
30,Coahuayana,18.7333,-103.6833,67.23,71,32,4.05,MX,2021-04-21 05:35:36,scattered clouds
31,Lebu,-37.6167,-73.65,54.37,94,96,5.91,CL,2021-04-21 05:35:37,overcast clouds
32,Borovoy,55.4333,86.0833,30.2,43,40,11.18,RU,2021-04-21 05:35:37,scattered clouds
33,Lagoa,39.05,-27.9833,61.32,88,100,17.76,PT,2021-04-21 05:35:38,overcast clouds
34,Magna,40.7091,-112.1016,50.0,49,1,6.91,US,2021-04-21 05:35:38,clear sky
35,Vaini,-21.2,-175.2,80.6,83,75,4.61,TO,2021-04-21 05:35:39,broken clouds
36,Klaksvik,62.2266,-6.589,33.8,86,75,1.14,FO,2021-04-21 05:35:39,broken clouds
37,Rogers,36.3668,-95.5836,34.0,86,1,2.1,US,2021-04-21 05:35:41,clear sky
38,Sulangan,11.1373,123.7228,84.52,72,100,9.22,PH,2021-04-21 05:35:41,overcast clouds
39,Chokurdakh,70.6333,147.9167,27.21,90,100,4.43,RU,2021-04-21 05:35:42,overcast clouds
40,High Level,58.5169,-117.136,41.0,65,1,5.5,CA,2021-04-21 05:35:42,clear sky
41,Hermanus,-34.4187,19.2345,60.01,92,100,5.99,ZA,2021-04-21 05:35:43,overcast clouds
42,Cape Town,-33.9258,18.4232,55.4,94,0,2.3,ZA,2021-04-21 05:34:12,clear sky
43,Port Alfred,-33.5906,26.891,68.34,76,68,8.48,ZA,2021-04-21 05:35:44,broken clouds
44,Lompoc,34.6391,-120.4579,51.8,76,93,10.36,US,2021-04-21 05:35:44,overcast clouds
45,Bairiki,1.3292,172.9752,84.2,79,40,13.8,KI,2021-04-21 05:35:45,light rain
46,Porto Walter,-8.2686,-72.7439,71.04,99,98,2.46,BR,2021-04-21 05:35:45,overcast clouds
47,Butaritari,3.0707,172.7902,81.68,79,48,19.46,KI,2021-04-21 05:35:46,scattered clouds
48,Atuona,-9.8,-139.0333,80.22,78,26,20.94,PF,2021-04-21 05:35:46,light rain
49,Guerrero Negro,27.9769,-114.0611,58.68,85,19,13.65,MX,2021-04-21 05:35:47,few clouds
50,Morganton,35.7454,-81.6848,54.0,82,1,2.77,US,2021-04-21 05:35:47,clear sky
51,Georgetown,5.4112,100.3354,89.6,66,20,8.05,MY,2021-04-21 05:35:48,few clouds
52,Paita,-5.0892,-81.1144,70.39,77,54,13.4,PE,2021-04-21 05:35:48,broken clouds
53,Rio Rancho,35.2334,-106.6645,48.99,37,99,1.99,US,2021-04-21 05:35:49,overcast clouds
54,Tiksi,71.6872,128.8694,16.21,91,100,12.91,RU,2021-04-21 05:35:50,light snow
55,Patacamaya,-17.2333,-67.9167,43.95,78,6,5.77,BO,2021-04-21 05:35:50,clear sky
56,Hornepayne,49.2138,-84.7705,15.37,96,100,2.01,CA,2021-04-21 05:35:51,overcast clouds
57,Moscow,55.7522,37.6156,37.0,93,75,4.47,RU,2021-04-21 05:33:46,snow
58,Faanui,-16.4833,-151.75,81.97,73,92,11.88,PF,2021-04-21 05:35:51,overcast clouds
59,Tuktoyaktuk,69.4541,-133.0374,14.0,79,90,19.57,CA,2021-04-21 05:35:52,snow
60,Ribeira Grande,38.5167,-28.7,62.24,91,100,13.69,PT,2021-04-21 05:35:52,overcast clouds
61,Castro,-24.7911,-50.0119,52.99,96,45,6.26,BR,2021-04-21 05:35:53,scattered clouds
62,Puerto Ayora,-0.7393,-90.3518,75.0,98,96,1.99,EC,2021-04-21 05:35:53,overcast clouds
63,Kruisfontein,-34.0033,24.7314,63.59,75,100,1.9,ZA,2021-04-21 05:35:54,overcast clouds
64,Soddy-Daisy,35.2359,-85.1908,53.01,55,7,5.75,US,2021-04-21 05:35:54,clear sky
65,Hudiksvall,61.729,17.1036,45.3,56,69,4.85,SE,2021-04-21 05:35:55,broken clouds
66,Nuristan,35.3,70.8333,34.52,65,13,6.98,AF,2021-04-21 05:35:55,few clouds
67,Tambopata,-12.7333,-69.1833,72.88,95,87,0.89,PE,2021-04-21 05:35:56,light rain
68,Coquimbo,-29.9533,-71.3436,59.0,72,75,4.61,CL,2021-04-21 05:35:56,broken clouds
69,Sur,22.5667,59.5289,91.04,33,0,7.14,OM,2021-04-21 05:35:57,clear sky
70,Avarua,-21.2078,-159.775,75.2,83,90,8.05,CK,2021-04-21 05:35:58,light rain
71,Grindavik,63.8424,-22.4338,39.2,87,75,6.91,IS,2021-04-21 05:35:59,broken clouds
72,Brigantine,39.4101,-74.3646,55.4,62,1,11.5,US,2021-04-21 05:35:59,clear sky
73,Mount Gambier,-37.8333,140.7667,51.8,87,75,11.5,AU,2021-04-21 05:35:59,broken clouds
74,San Policarpo,12.1791,125.5072,87.21,64,96,8.57,PH,2021-04-21 05:36:00,overcast clouds
75,Shakawe,-18.3667,21.85,60.31,41,0,5.79,BW,2021-04-21 05:36:00,clear sky
76,Oktyabrskiy,54.4815,53.471,45.48,32,97,16.73,RU,2021-04-21 05:36:01,overcast clouds
77,Fare,-16.7,-151.0167,81.99,74,95,14.34,PF,2021-04-21 05:36:02,overcast clouds
78,New Norfolk,-42.7826,147.0587,55.99,58,50,7.0,AU,2021-04-21 05:36:02,scattered clouds
79,Airai,-8.9266,125.4092,69.98,70,96,2.01,TL,2021-04-21 05:36:03,overcast clouds
80,Lewiston,44.1003,-70.2148,44.01,81,90,3.44,US,2021-04-21 05:36:03,overcast clouds
81,Cidreira,-30.1811,-50.2056,69.98,76,53,15.7,BR,2021-04-21 05:36:03,broken clouds
82,Saint-Philippe,-21.3585,55.7679,80.6,78,90,13.8,RE,2021-04-21 05:36:04,light rain
83,Port Augusta,-32.5,137.7667,66.99,48,90,5.75,AU,2021-04-21 05:36:04,overcast clouds
84,Hanmer Springs,-42.5167,172.8167,52.07,71,55,2.28,NZ,2021-04-21 05:36:05,broken clouds
85,Jamestown,42.097,-79.2353,34.0,93,90,6.91,US,2021-04-21 05:36:05,light snow
86,Bluff,-46.6,168.3333,48.0,95,100,8.99,NZ,2021-04-21 05:36:06,overcast clouds
87,Katsuura,35.1333,140.3,75.0,49,20,13.8,JP,2021-04-21 05:36:06,few clouds
88,Novyy Urengoy,66.0833,76.6333,19.53,88,91,10.18,RU,2021-04-21 05:36:07,overcast clouds
89,Tasiilaq,65.6145,-37.6368,21.2,73,75,1.14,GL,2021-04-21 05:36:07,broken clouds
90,Yellowknife,62.456,-114.3525,39.2,60,20,10.36,CA,2021-04-21 05:36:08,few clouds
91,San Patricio,28.017,-97.5169,64.0,94,20,11.5,US,2021-04-21 05:36:08,few clouds
92,Ocean City,39.2776,-74.5746,55.4,62,1,11.5,US,2021-04-21 05:35:19,clear sky
93,Buala,-8.145,159.5921,84.49,73,41,3.83,SB,2021-04-21 05:36:09,light rain
94,Sosua,19.7667,-70.5167,73.99,94,20,7.16,DO,2021-04-21 05:36:10,few clouds
