City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Bourail,NC,75.13,overcast clouds,-21.5667,165.4833,Motel Allamanda
5,Hithadhoo,MV,82.67,clear sky,-0.6,73.0833,Scoop Guest House
9,Victoria,HK,82.4,few clouds,22.2855,114.1577,Mini Hotel Central
11,Rikitea,PF,76.77,light rain,-23.1203,-134.9692,Pension Maro'i
22,Kihei,US,77.0,light rain,20.785,-156.4656,Maui Sunset
26,Meulaboh,ID,85.28,broken clouds,4.1363,96.1285,Kost Pria
35,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
38,Sulangan,PH,84.52,overcast clouds,11.1373,123.7228,Maia's Beach Resort
45,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
47,Butaritari,KI,81.68,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
48,Atuona,PF,80.22,light rain,-9.8,-139.0333,Villa Enata
51,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
58,Faanui,PF,81.97,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,Puerto Ayora,EC,75.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Avarua,CK,75.2,light rain,-21.2078,-159.775,Paradise Inn
74,San Policarpo,PH,87.21,overcast clouds,12.1791,125.5072,JM Lodge
77,Fare,PF,81.99,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
82,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
87,Katsuura,JP,75.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
93,Buala,SB,84.49,light rain,-8.145,159.5921,Maringe Lagoon Lodge
97,Hami,CN,78.46,broken clouds,42.8,93.45,Laoyutang Resort
111,Baruun-Urt,MN,75.2,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
113,Kavieng,PG,83.32,light rain,-2.5744,150.7967,Nusa Island Retreat
116,Acacoyagua,MX,76.64,overcast clouds,15.35,-92.65,Finca TAJUKO
