City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-04-19 02:37:59,-23.1203,-134.9692,78.1,72,10,5.26
1,Mahebourg,MU,2021-04-19 02:38:00,-20.4081,57.7,78.8,83,75,11.5
2,Mataura,NZ,2021-04-19 02:38:00,-46.1927,168.8643,62.01,73,49,10.0
3,Charters Towers,AU,2021-04-19 02:36:07,-20.1,146.2667,85.21,44,21,13.91
4,Vaini,TO,2021-04-19 02:38:01,-21.2,-175.2,82.4,74,20,6.91
5,Kodiak,US,2021-04-19 02:38:01,57.79,-152.4072,50.0,62,40,11.5
6,Albany,US,2021-04-19 02:35:32,42.6001,-73.9662,48.2,81,90,4.14
7,Puerto Baquerizo Moreno,EC,2021-04-19 02:38:02,-0.9,-89.6,76.57,89,100,5.19
8,Hambantota,LK,2021-04-19 02:38:03,6.1241,81.1185,80.6,94,20,2.3
9,Kapaa,US,2021-04-19 02:38:03,22.0752,-159.319,78.8,61,20,13.8
10,Qaanaaq,GL,2021-04-19 02:35:22,77.484,-69.3632,2.28,75,100,4.92
11,Comodoro Rivadavia,AR,2021-04-19 02:38:04,-45.8667,-67.5,66.2,48,0,8.05
12,Namibe,AO,2021-04-19 02:36:16,-15.1961,12.1522,81.25,67,2,4.43
13,Bluff,NZ,2021-04-19 02:38:05,-46.6,168.3333,62.01,73,68,10.0
14,Punta Arenas,CL,2021-04-19 02:38:05,-53.15,-70.9167,46.4,81,0,3.44
15,Ibotirama,BR,2021-04-19 02:38:05,-12.1853,-43.2206,70.86,90,100,2.01
16,Provideniya,RU,2021-04-19 02:38:06,64.3833,-173.3,30.2,69,0,2.24
17,Hobart,AU,2021-04-19 02:36:37,-42.8794,147.3294,66.2,42,75,23.02
18,Kloulklubed,PW,2021-04-19 02:38:07,7.0419,134.2556,75.2,94,90,8.05
19,Mar Del Plata,AR,2021-04-19 02:33:18,-38.0023,-57.5575,66.0,88,0,8.05
20,Benin,BJ,2021-04-19 02:38:07,9.5,2.25,76.41,76,37,3.53
21,Georgetown,MY,2021-04-19 02:37:25,5.4112,100.3354,87.01,70,20,4.61
22,Dikson,RU,2021-04-19 02:34:53,73.5069,80.5464,-1.97,99,100,8.55
23,Bosaso,SO,2021-04-19 02:38:08,11.2842,49.1816,81.93,73,97,3.8
24,Pangnirtung,CA,2021-04-19 02:38:09,66.1451,-65.7125,3.92,83,64,7.49
25,Butaritari,KI,2021-04-19 02:38:09,3.0707,172.7902,83.5,74,46,11.95
26,Cherskiy,RU,2021-04-19 02:33:11,68.75,161.3,22.41,80,57,15.9
27,Port Alfred,ZA,2021-04-19 02:38:10,-33.5906,26.891,72.25,48,0,21.27
28,Trencin,SK,2021-04-19 02:38:10,48.8333,18.25,42.01,89,100,4.0
29,Jalu,LY,2021-04-19 02:38:10,29.0331,21.5482,69.62,51,100,20.56
30,Ushuaia,AR,2021-04-19 02:38:11,-54.8,-68.3,53.6,62,40,6.91
31,Chuy,UY,2021-04-19 02:38:11,-33.6971,-53.4616,62.19,76,19,7.61
32,Encrucijada,CU,2021-04-19 02:38:12,22.6169,-79.8711,77.0,78,20,2.3
33,Nizwa,OM,2021-04-19 02:38:12,22.9333,57.5333,82.09,19,54,2.62
34,Cervo,ES,2021-04-19 02:38:13,43.6702,-7.4101,48.99,91,100,1.01
35,Quedlinburg,DE,2021-04-19 02:38:13,51.7833,11.15,43.0,93,45,1.45
36,Busselton,AU,2021-04-19 02:35:20,-33.65,115.3333,66.99,72,53,3.0
37,Senneterre,CA,2021-04-19 02:38:14,48.3835,-77.2328,37.4,60,20,4.07
38,Victoria,HK,2021-04-19 02:38:06,22.2855,114.1577,73.99,67,100,1.99
39,Ashibetsu,JP,2021-04-19 02:38:14,43.5097,142.1856,42.8,87,75,5.75
40,Damghan,IR,2021-04-19 02:38:15,36.1683,54.348,66.42,29,100,3.38
41,Avarua,CK,2021-04-19 02:38:15,-21.2078,-159.775,80.6,83,75,13.8
42,Roald,NO,2021-04-19 02:38:16,62.5833,6.1333,42.01,87,43,9.22
43,Novyy Urengoy,RU,2021-04-19 02:38:16,66.0833,76.6333,-3.59,95,34,12.97
44,Hermanus,ZA,2021-04-19 02:34:53,-34.4187,19.2345,64.99,93,100,14.79
45,Hasaki,JP,2021-04-19 02:38:17,35.7333,140.8333,66.0,29,0,19.57
46,Puerto Colombia,CO,2021-04-19 02:38:17,10.9878,-74.9547,78.8,83,40,3.44
47,Geraldton,AU,2021-04-19 02:38:18,-28.7667,114.6,73.4,38,0,17.27
48,Lazarev,RU,2021-04-19 02:38:18,52.225,141.5131,31.87,98,100,23.55
49,Port Lincoln,AU,2021-04-19 02:38:19,-34.7333,135.8667,66.09,54,42,15.28
50,Cape Town,ZA,2021-04-19 02:38:19,-33.9258,18.4232,66.0,94,0,19.57
51,Airai,TL,2021-04-19 02:38:20,-8.9266,125.4092,73.36,42,56,2.98
52,Soure,BR,2021-04-19 02:38:20,-0.7167,-48.5233,74.95,90,100,2.53
53,Ust-Kuyga,RU,2021-04-19 02:38:20,70.0167,135.6,15.57,73,47,2.39
54,Tuktoyaktuk,CA,2021-04-19 02:35:05,69.4541,-133.0374,35.6,75,20,13.8
55,Tochio,JP,2021-04-19 02:38:21,37.4667,139.0,55.99,62,18,1.99
56,Bahia Honda,CU,2021-04-19 02:38:21,22.9036,-83.1592,76.75,88,0,6.69
57,Jamestown,US,2021-04-19 02:38:14,42.097,-79.2353,46.0,70,75,9.22
58,Leh,IN,2021-04-19 02:38:22,34.1667,77.5833,30.97,55,97,4.92
59,Puerto Ayora,EC,2021-04-19 02:35:12,-0.7393,-90.3518,77.0,97,100,3.0
60,Sarakhs,IR,2021-04-19 02:38:23,36.5449,61.1577,60.8,36,0,9.89
61,Byron Bay,AU,2021-04-19 02:37:55,-28.65,153.6167,73.4,60,40,10.36
62,Ambulu,ID,2021-04-19 02:38:24,-8.345,113.6058,84.58,64,16,4.12
63,Grenada,ES,2021-04-19 02:38:24,37.1882,-3.6067,48.0,87,0,1.88
64,Udachnyy,RU,2021-04-19 02:38:25,66.4167,112.4,8.33,70,93,4.07
65,Conceicao Do Araguaia,BR,2021-04-19 02:38:25,-8.2578,-49.2647,75.2,94,0,2.3
66,Puerto Narino,CO,2021-04-19 02:38:26,-3.7703,-70.3831,73.4,100,40,2.42
67,Acapulco,MX,2021-04-19 02:35:53,16.8634,-99.8901,78.8,73,1,9.22
68,Maputo,MZ,2021-04-19 02:38:26,-25.9653,32.5892,64.0,88,0,3.44
69,Chokurdakh,RU,2021-04-19 02:38:27,70.6333,147.9167,12.4,89,41,11.88
70,Mae Sai,TH,2021-04-19 02:38:27,20.4335,99.8762,78.8,83,75,1.14
71,Santa Rosa,PH,2021-04-19 02:38:27,14.3122,121.1114,90.0,51,75,6.91
72,East London,ZA,2021-04-19 02:37:01,-33.0153,27.9116,73.92,34,0,6.73
73,Kushmurun,KZ,2021-04-19 02:38:28,52.4503,64.6311,29.68,45,87,19.04
74,Samut Sakhon,TH,2021-04-19 02:38:29,13.5833,100.3,89.01,61,98,2.53
75,Hofn,IS,2021-04-19 02:38:29,64.2539,-15.2082,38.35,71,14,13.15
76,Kremenchuk,UA,2021-04-19 02:38:30,49.0973,33.4197,40.59,87,100,4.5
77,Kaitangata,NZ,2021-04-19 02:35:18,-46.2817,169.8464,64.62,52,24,9.89
78,Kingman,US,2021-04-19 02:38:30,35.1894,-114.053,68.0,9,1,19.57
79,Isangel,VU,2021-04-19 02:38:31,-19.55,169.2667,87.8,74,75,9.22
80,Yambio,SS,2021-04-19 02:38:31,4.5721,28.3955,70.03,85,91,4.56
81,Adrar,MR,2021-04-19 02:38:32,20.5022,-10.0711,74.5,11,32,7.29
82,Tuy Hoa,VN,2021-04-19 02:38:32,13.0833,109.3,85.82,60,99,5.37
83,Bengkulu,ID,2021-04-19 02:33:55,-3.8004,102.2655,82.74,67,25,3.69
84,Beringovskiy,RU,2021-04-19 02:38:33,63.05,179.3167,33.22,95,91,3.69
85,San Pedro,PH,2021-04-19 02:38:33,14.35,121.0167,90.0,51,75,6.91
86,Hithadhoo,MV,2021-04-19 02:38:34,-0.6,73.0833,82.62,66,87,6.33
87,Camacha,PT,2021-04-19 02:38:34,33.0833,-16.3333,59.0,77,20,6.91
88,Barreirinhas,BR,2021-04-19 02:38:34,-2.7469,-42.8264,76.66,91,100,5.64
89,Tasiilaq,GL,2021-04-19 02:38:35,65.6145,-37.6368,15.8,67,0,4.61
90,Kruisfontein,ZA,2021-04-19 02:38:36,-34.0033,24.7314,69.01,65,37,11.01
91,Codrington,AU,2021-04-19 02:38:36,-38.2667,141.9667,65.73,54,99,15.23
92,Loandjili,CG,2021-04-19 02:38:37,-4.7561,11.8578,75.2,100,40,2.3
93,Arraial Do Cabo,BR,2021-04-19 02:35:50,-22.9661,-42.0278,75.2,88,75,5.75
94,Minot,US,2021-04-19 02:34:17,48.2325,-101.2963,32.0,55,90,14.97
95,Shubarshi,KZ,2021-04-19 02:38:38,48.5872,57.1869,55.24,81,100,1.79
96,Yulara,AU,2021-04-19 02:34:15,-25.2406,130.9889,69.8,24,0,6.91
97,Grindavik,IS,2021-04-19 02:38:38,63.8424,-22.4338,30.2,86,40,8.05
98,Gisborne,NZ,2021-04-19 02:38:39,-38.6533,178.0042,70.0,48,63,4.0
99,Venado Tuerto,AR,2021-04-19 02:38:39,-33.7456,-61.9688,68.0,99,4,8.01
100,Atuona,PF,2021-04-19 02:38:39,-9.8,-139.0333,80.38,80,19,18.88
101,Nikolskoye,RU,2021-04-19 02:38:40,59.7035,30.7861,42.8,61,0,4.47
102,Luderitz,NA,2021-04-19 02:38:40,-26.6481,15.1594,74.08,46,8,5.17
103,Punta Alta,AR,2021-04-19 02:34:26,-38.8759,-62.0736,66.76,84,56,9.44
104,Barrow,US,2021-04-19 02:38:02,71.2906,-156.7887,28.4,74,1,9.22
105,Hovd,MN,2021-04-19 02:38:41,48.0056,91.6419,51.31,15,76,7.54
106,Chapais,CA,2021-04-19 02:38:42,49.7834,-74.8492,39.2,65,90,3.44
107,Carnarvon,AU,2021-04-19 02:38:42,-24.8667,113.6333,78.6,57,0,16.4
108,Leningradskiy,RU,2021-04-19 02:38:42,69.3833,178.4167,31.71,68,41,10.71
